iata,icao,name,location,latitude,longitude,website,city,country,country_iso,phone
SXW,,Sauren Airport,"Sauren, Papua New Guinea",0.0,0.0,,,,,
EAP,,metropolitan area2,"Basel, Switzerland / Mulhouse, Alsace, France",0.0,0.0,,,,,
LYG,ZSLG,Lianyungang Baitabu Airport,"Lianyungang, Jiangsu, China",34.564964,118.88171,http://www.lygairport.com,Lianyungang,China,CN,+86 518 8552 1666
YIG,,Big Bay Water Aerodrome (TC: CAF6),"Stuart Island, British Columbia, Canada",0.0,0.0,,,,,
ACI,EGJA,Alderney Airport,"Alderney, Channel Islands, United Kingdom",49.70875,-2.2148435,http://alderney.gov.gg/article/4153/Airport,Saint Anne,Guernsey,GG,+44 1481 822624
APW,NSFA,Faleolo International Airport,"Apia, Upolu Island, Samoa",-13.83045,-172.0081,http://apia.airport-authority.com/,Faleolo,Samoa,WS,+685 23201
LYI,ZSLY,Linyi Shubuling Airport,"Linyi, Shandong, China",35.048244,118.413284,http://www.lyairport.net/,Linyi Shi,China,CN,+86 539 960 0777
LHB,EG74,Bruntingthorpe Aerodrome (Leicester Harboro'/Harbour Airport),"Greater Leicester, England, United Kingdom",52.49083,-1.131193,http://www.bruntingthorpe.com/,,United Kingdom,GB,+44 116 279 9300
MDE,SKRG,José María Córdova International Airport,"Medellín, Colombia",6.1707635,-75.42762,http://www.aeropuertorionegro.co/,,Colombia,CO,+57 4 4025110
MDH,KMDH,Southern Illinois Airport,"Carbondale / Murphysboro, Illinois, United States",37.77748,-89.253624,http://siairport.com/,Murphysboro,United States,US,+1 618-529-1721
YFL,,Fort Reliance Water Aerodrome (CJN8),"Fort Reliance, Northwest Territories, Canada",62.71827,-109.153564,,Reliance,Canada,CA,
MDK,FZEA,Mbandaka Airport,"Mbandaka, Democratic Republic of the Congo",0.022797,18.291508,,Mbandaka,Democratic Republic of the Congo,CD,
LZC,MMLC,Lázaro Cárdenas Airport,"Lázaro Cárdenas, Michoacán, Mexico",17.996086,-102.22336,,La Orilla,Mexico,MX,+52 753 532 1920
AQP,SPQU,Rodríguez Ballón International Airport,"Arequipa, Peru",-16.344688,-71.56765,http://www.aap.com.pe/aeropuerto-internacional-rodriguez-ballon,Cerro Colorado,Peru,PE,+51 54 344834
NKI,,Naukati Bay Seaplane Base (FAA: AK62),"Naukati Bay, Alaska, United States",55.849644,-133.22783,http://www.naukatibay.com/,Ketchikan,United States,US,+1 907-629-4104
AST,KAST,Astoria Regional Airport,"Astoria, Oregon, United States",46.155796,-123.8819,http://www.portofastoria.com/,Warrenton,United States,US,+1 503-861-1222
LZH,ZGZH,Liuzhou Bailian Airport,"Liuzhou, Guangxi, China",24.203135,109.40402,,Liuzhou Shi,China,CN,
MEC,SEMT,Eloy Alfaro International Airport,"Manta, Ecuador",-0.9529062,-80.68416,http://www.aeropuertomanta.com/,Manta,Ecuador,EC,
YHA,,Port Hope Simpson Airport (TC: CCP4),"Port Hope Simpson, Newfoundland and Labrador, Canada",52.528217,-56.2874,,Port Hope Simpson,Canada,CA,
NGR,,Ningerum Airport,"Ningerum, Papua New Guinea",-5.668939,141.14307,,Ningerum,Papua New Guinea,PG,
AFK,,Kondavattavan Tank Seaplane Base,"Ampara, Sri Lanka",0.0,0.0,,,,,
AGK,,Kagua Airport,"Kagua, Papua New Guinea",0.0,0.0,,,,,
BLL,EKBI,Billund Airport,"Billund, Denmark",55.740807,9.1526,http://www.billund-airport.dk/,Billund,Denmark,DK,+45 76 50 50 50
ATH,LGAV,Athens International Airport (Eleftherios Venizelos Airport),"Athens, Greece",37.935646,23.948416,http://www.aia.gr/traveler/,,Greece,GR,+30 21 0353 0000
YLE,,Whatì Airport (TC: CEM3),"Whatì, Northwest Territories, Canada",0.0,0.0,,,,,
MEH,ENMH,Mehamn Airport,"Mehamn, Norway",71.02919,27.826445,https://avinor.no/flyplass/mehamn/,Mehamn,Norway,NO,+47 67 03 51 40
MEI,KMEI,Meridian Regional Airport (Key Field),"Meridian, Mississippi, United States",32.333546,-88.745155,http://www.meridianairport.com/,Meridian,United States,US,+1 601-482-0364
MEL,YMML,Melbourne Airport,"Melbourne, Victoria, Australia",-37.669014,144.84103,http://www.melbourneairport.com.au/,Melbourne Airport,Australia,AU,+61 3 9297 1600
MEM,KMEM,Memphis International Airport,"Memphis, Tennessee, United States",35.04207,-89.97917,http://www.flymemphis.com/,Memphis,United States,US,+1 901-922-8000
MEN,LFNB,Brenoux Airport,"Mende, Languedoc-Roussillon, France",44.501404,3.5328505,,Brenoux,France,FR,+33 4 66 65 14 61
MBS,KMBS,MBS International Airport,"Saginaw / Midland / Bay City, Michigan, United States",43.538628,-84.0821,http://www.mbsairport.org/,Freeland,United States,US,+1 989-695-5555
MBW,YMMB,Moorabbin Airport,"Melbourne, Victoria, Australia",-37.976654,145.09729,http://www.moorabbinairport.com.au/,Moorabbin Airport,Australia,AU,+61 3 8587 8000
MBY,KMBY,Omar N. Bradley Airport,"Moberly, Missouri, United States",39.464077,-92.43198,https://www.moberlymo.org/321/Omar-N-Bradley-Regional-Airport,Moberly,United States,US,+1 660-263-4835
AVP,KAVP,Wilkes-Barre/Scranton International Airport,"Wilkes-Barre / Scranton, Pennsylvania, United States",41.337933,-75.72464,http://flyavp.com/,Avoca,United States,US,+1 570-602-2000
YGQ,CYGQ,Geraldton (Greenstone Regional) Airport,"Greenstone (Geraldton), Ontario, Canada",49.783295,-86.931274,,,Canada,CA,
HIT,AYHO,Haivaro Airport,"Haivaro, Papua New Guinea",0.0,0.0,,,,,
YNN,,Yandicoogina Airport,"Yandicoogina, Western Australia, Australia",0.0,0.0,,,,,
MEO,KMQI,Dare County Regional Airport (FAA: MQI),"Manteo, North Carolina, United States",35.917885,-75.69997,http://www.darenc.com/Airport/,Manteo,United States,US,+1 252-475-5570
MEY,VNMG,Meghauli Airport,"Meghauli, Nepal",27.576616,84.228,,Narayani,Nepal,NP,
YOG,CYKP,Ogoki Post Airport,"Marten Falls (Ogoki), Ontario, Canada",0.0,0.0,,,,,
YEL,CYEL,Elliot Lake Municipal Airport,"Elliot Lake, Ontario, Canada",46.351387,-82.561386,,Elliot Lake,Canada,CA,
