icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
3c4ad0,1517230790,EDDF,1517238306,,DLH630  ,4319,65,,,1,0
3c5469,1517230716,EDDF,1517233481,LSGG,DLH5LA  ,4362,103,1803,163,1,2
4baa03,1517230625,EDDF,1517238702,,THY9AD  ,3764,80,,,2,0
4951d0,1517230550,EDDF,1517240237,LPCS,TAP583  ,3808,80,14016,708,2,3
780b7d,1517230493,EDDF,1517295442,,CES220  ,1464,11,,,1,0
3c66aa,1517230395,EDDF,1517237893,,DLH1436 ,1190,34,,,1,0
3c66a9,1517230317,EDDF,1517241232,,DLH692  ,3943,27,,,2,0
3c4ad7,1517230176,EDDF,1517265128,KDEN,DLH446  ,1425,103,2948,43,1,2
3c65a5,1517230169,EDDF,1517302940,EDDF,DLH761  ,4685,72,2005,110,1,3
3c648c,1517230167,EDDF,1517238643,,DLH580  ,1845,126,,,1,0
3c70c3,1517230068,EDDF,1517236678,,GEC8410 ,1907,49,,,1,0
3c644a,1517229990,EDDF,1517232089,EDDV,DLH052  ,816,19,1739,55,1,2
3c64f3,1517229981,EDDF,1517318413,EDDF,DLH542  ,4690,57,2461,80,1,3
3c6593,1517229860,EDDF,1517232089,EBBR,DLH9MM  ,3657,88,3061,86,2,1
3c4b26,1517229760,EDDF,1517261535,KEWR,DLH402  ,4693,110,855,51,1,6
4cc275,1517229634,EDDF,1517242017,BIKF,ICE521  ,1093,57,510,62,1,0
3c6626,1517229453,EDDF,1517231817,EDDM,DLH3XN  ,3312,126,1050,125,2,3
3c5463,1517229423,EDDF,1517233199,EPPO,DLH6RV  ,3844,95,685,10,2,1
3c6566,1517229409,EDDF,1517255445,,DLH646  ,1381,49,,,1,0
3c667a,1517229342,EDDF,1517232179,EDDT,DLH8HU  ,1366,103,1642,14,1,2
3c6588,1517229323,EDDF,1517231635,EDDC,DLH3MC  ,3468,80,5031,128,2,2
3c66ae,1517229249,EDDF,1517235258,ESSA,DLH2XA  ,1398,95,7285,369,1,3
3c66a2,1517229233,EDDF,1517240146,,DLH1306 ,4027,11,,,2,0
3c6590,1517229150,EDDF,1517231522,EDWM,DLH2EU  ,971,11,11826,774,1,4
3c6571,1517229094,EDDF,1517237038,,DLH624  ,4125,42,,,1,0
3c6655,1517229007,EDDF,1517230967,EDDL,DLH076  ,1038,88,2115,44,1,2
3c66ac,1517228857,EDDF,1517236078,EFHK,DLH3PP  ,1441,88,3671,105,1,2
3c6487,1517228827,EDDF,1517237334,LTBX,DLH1298 ,3907,95,24380,2392,2,0
3c6598,1517228681,EDDF,1517230237,EDDN,DLH8NL  ,3581,80,576,143,2,0
3c6621,1517228596,EDDF,1517234018,EGCC,DLH938  ,958,72,1706,70,1,2
3c4b23,1517228579,EDDF,1517235952,,DLH754  ,4373,72,,,1,0
3c64ed,1517228461,EDDF,1517261682,KOQN,DLH426  ,1969,80,14528,1039,1,3
3c65c8,1517228290,EDDF,1517230990,EDDH,DLH9XY  ,1078,95,1597,29,1,2
3c65c7,1517228280,EDDF,1517231639,LIPZ,DLH7MJ  ,4050,27,3157,47,2,3
3c4b2b,1517228057,EDDF,1517260463,KIAD,DLH418  ,4215,118,1603,41,1,2
3c658b,1517228042,EDDF,1517230706,LFXA,DLH71F  ,3187,133,12230,1890,2,1
3c6749,1517227975,EDDF,1517229354,EDDS,DLH9KK  ,3872,72,4,152,2,1
3c5465,1517227902,EDDF,1517231402,LDZA,DLH4EN  ,3785,80,11324,395,2,0
a1f1a0,1517227818,EDDF,1517260749,KORD,UAL906  ,1309,95,3320,14,1,3
3c658c,1517227774,EDDF,1517230964,LIML,DLH1MH  ,3657,65,4847,60,2,1
3c6759,1517227703,EDDF,1517230797,EHAM,DLH992  ,879,95,2694,42,1,1
4ca540,1517227643,EDDF,1517232928,EGCC,RYR38RM ,1454,10,3010,5,1,2
3c4aa8,1517227623,EDDF,1517236570,,CFG744  ,4479,56,,,1,0
a28dc8,1517227542,EDDF,1517268585,KSFO,UAL59   ,1234,65,2043,34,1,5
3c6635,1517227541,EDDF,1517229910,LKPR,DLH8FY  ,3712,80,919,105,2,4
3c648e,1517227482,EDDF,1517234564,LEMD,DLH15T  ,3800,88,1935,197,2,3
780212,1517227440,EDDF,1517262987,,CPA288  ,1612,95,,,1,0
3c66af,1517227336,EDDF,1517233082,ENGM,DLH4PH  ,1039,80,10772,623,1,1
440828,1517227303,EDDF,1517229529,LOWS,AUA264  ,3736,110,15781,651,2,0
300558,1517227241,EDDF,1517229915,LIPO,DLH5RM  ,3676,80,24061,1697,2,2
