,name,latitude,longitude,city,country
2,Lianyungang Baitabu Airport,34.564964,118.88171,Lianyungang,China
4,Alderney Airport,49.70875,-2.2148435,Saint Anne,Guernsey
5,Faleolo International Airport,-13.83045,-172.0081,Faleolo,Samoa
6,Linyi Shubuling Airport,35.048244,118.413284,Linyi Shi,China
9,Southern Illinois Airport,37.77748,-89.253624,Murphysboro,United States
10,Fort Reliance Water Aerodrome (CJN8),62.71827,-109.153564,Reliance,Canada
11,Mbandaka Airport,0.022797,18.291508,Mbandaka,Democratic Republic of the Congo
12,Lázaro Cárdenas Airport,17.996086,-102.22336,La Orilla,Mexico
13,Rodríguez Ballón International Airport,-16.344688,-71.56765,Cerro Colorado,Peru
14,Naukati Bay Seaplane Base (FAA: AK62),55.849644,-133.22783,Ketchikan,United States
15,Astoria Regional Airport,46.155796,-123.8819,Warrenton,United States
16,Liuzhou Bailian Airport,24.203135,109.40402,Liuzhou Shi,China
17,Eloy Alfaro International Airport,-0.9529062,-80.68416,Manta,Ecuador
18,Port Hope Simpson Airport (TC: CCP4),52.528217,-56.2874,Port Hope Simpson,Canada
19,Ningerum Airport,-5.668939,141.14307,Ningerum,Papua New Guinea
22,Billund Airport,55.740807,9.1526,Billund,Denmark
