,icao,name,latitude,longitude,city,country
2,ZSLG,Lianyungang Baitabu Airport,34.564964,118.88171,Lianyungang,China
4,EGJA,Alderney Airport,49.70875,-2.2148435,Saint Anne,Guernsey
5,NSFA,Faleolo International Airport,-13.83045,-172.0081,Faleolo,Samoa
6,ZSLY,Linyi Shubuling Airport,35.048244,118.413284,Linyi Shi,China
9,KMDH,Southern Illinois Airport,37.77748,-89.253624,Murphysboro,United States
11,FZEA,Mbandaka Airport,0.022797,18.291508,Mbandaka,Democratic Republic of the Congo
12,MMLC,Lázaro Cárdenas Airport,17.996086,-102.22336,La Orilla,Mexico
13,SPQU,Rodríguez Ballón International Airport,-16.344688,-71.56765,Cerro Colorado,Peru
15,KAST,Astoria Regional Airport,46.155796,-123.8819,Warrenton,United States
16,ZGZH,Liuzhou Bailian Airport,24.203135,109.40402,Liuzhou Shi,China
17,SEMT,Eloy Alfaro International Airport,-0.9529062,-80.68416,Manta,Ecuador
22,EKBI,Billund Airport,55.740807,9.1526,Billund,Denmark
25,ENMH,Mehamn Airport,71.02919,27.826445,Mehamn,Norway
26,KMEI,Meridian Regional Airport (Key Field),32.333546,-88.745155,Meridian,United States
27,YMML,Melbourne Airport,-37.669014,144.84103,Melbourne Airport,Australia
28,KMEM,Memphis International Airport,35.04207,-89.97917,Memphis,United States
29,LFNB,Brenoux Airport,44.501404,3.5328505,Brenoux,France
30,KMBS,MBS International Airport,43.538628,-84.0821,Freeland,United States
31,YMMB,Moorabbin Airport,-37.976654,145.09729,Moorabbin Airport,Australia
32,KMBY,Omar N. Bradley Airport,39.464077,-92.43198,Moberly,United States
33,KAVP,Wilkes-Barre/Scranton International Airport,41.337933,-75.72464,Avoca,United States
37,KMQI,Dare County Regional Airport (FAA: MQI),35.917885,-75.69997,Manteo,United States
38,VNMG,Meghauli Airport,27.576616,84.228,Narayani,Nepal
40,CYEL,Elliot Lake Municipal Airport,46.351387,-82.561386,Elliot Lake,Canada
42,WMKM,Malacca International Airport,2.255507,102.25086,Batu Berendam,Malaysia
43,KMLC,McAlester Regional Airport,34.882515,-95.783356,McAlester,United States
44,CYFS,Fort Simpson Airport,61.758953,-121.23158,Fort Simpson,Canada
46,VRMM,Ibrahim Nasir International Airport,4.1887827,73.52858,Malé,Maldives
47,ZSAQ,Anqing Tianzhushan Airport,30.5831,117.05164,Anqing,China
48,CYHU,Montréal/Saint-Hubert Airport,45.51994,-73.41346,Longueuil,Canada
49,CYIV,Island Lake Airport (Garden Hill Airport),53.856644,-94.65247,Island Lake,Canada
50,OEPA,Al Qaisumah/Hafr Al Batin Airport,28.334408,46.121315,Al Qaisumah,Saudi Arabia
51,CYGW,Kuujjuarapik Airport,55.28279,-77.75824,Kuujjuarapik,Canada
52,OJAQ,King Hussein International Airport,29.613297,35.01994,Aqaba,Jordan
53,CYHF,Hearst (René Fontaine) Municipal Airport,49.709064,-83.6932,Hearst,Canada
54,AYAI,Aitape Airstrip,-3.1538272,142.364,Aitape,Papua New Guinea
